equipmentnumber,type,description,geocoordX,geocoordY,state,stateExplanation,stationnumber,datetime
10457930,ESCALATOR,von Gleis 7/8 zu Südsteg,10.00712,53.55231,ACTIVE,available,2514,2019-07-07T15:13:10Z
10114062,ELEVATOR,zu Gleis 1/2,9.1155451,48.738452,ACTIVE,available,6075,2019-07-07T15:13:10Z
10499799,ELEVATOR,zu Gleis 7/8,9.13767,48.94802,ACTIVE,available,636,2019-07-07T15:13:10Z
10457932,ELEVATOR,zu Gleis 1,9.4117977,48.7130432,ACTIVE,available,4967,2019-07-07T15:13:10Z
10529233,ELEVATOR,,6.7009953,51.039765,ACTIVE,available,5334,2019-07-07T15:13:10Z
10359274,ELEVATOR,zu Gleis 1,10.23738102,48.61999098,ACTIVE,available,2118,2019-07-07T15:13:10Z
10457933,ELEVATOR,zu Gleis 9/10,9.410957,48.7126977,ACTIVE,available,4967,2019-07-07T15:13:10Z
10359276,ELEVATOR,zu Gleis 2,10.23744586,48.61982023,ACTIVE,available,2118,2019-07-07T15:13:10Z
10491825,ELEVATOR,zu Gleis 1/2,13.740602,51.0655717,ACTIVE,available,1352,2019-07-07T15:13:10Z
10491824,ELEVATOR,von Empfangshalle zu Tunnel,13.7406775,51.065511,ACTIVE,available,1352,2019-07-07T15:13:10Z
10276377,ELEVATOR,zu Gleis 1,10.1256896,48.4931886,ACTIVE,available,3527,2019-07-07T15:13:10Z
10491823,ELEVATOR,zu Gleis 3/4 Abschnitt C/D,13.7404211,51.0656811,ACTIVE,available,1352,2019-07-07T15:13:10Z
10276376,ELEVATOR,zu Gleis 2,10.1258302,48.4930878,ACTIVE,available,3527,2019-07-07T15:13:10Z
10301055,ELEVATOR,zu Gleis 2/3,11.3384128,50.717821,ACTIVE,available,5418,2019-07-07T15:13:10Z
10301054,ELEVATOR,zu Gleis 1,11.3383662,50.7179608,ACTIVE,available,5418,2019-07-07T15:13:10Z
10456613,ELEVATOR,von EG zu Tunnel (Nord),11.8609685,48.1931816,ACTIVE,available,3971,2019-07-07T15:13:10Z
10456614,ELEVATOR,von EG zu Tunnel (Süd),11.8615643,48.1928075,ACTIVE,available,3971,2019-07-07T15:13:10Z
10469929,ELEVATOR,zu Gleis 8,10.7879152,52.4292183,ACTIVE,available,6859,2019-07-07T15:13:10Z
10088990,ELEVATOR,zu Gleis 3,10.48446481,53.14238011,ACTIVE,available,625,2019-07-07T15:13:10Z
10611152,ELEVATOR,,,,ACTIVE,available,5842,2019-07-07T15:13:10Z
10468607,ELEVATOR,zu Gleis 4,8.2777643,49.9933099,ACTIVE,available,3900,2019-07-07T15:13:10Z
10468606,ELEVATOR,zu Gleis 2/3,8.277823,49.9934104,ACTIVE,available,3900,2019-07-07T15:13:10Z
10304105,ELEVATOR,zu Gleis 1,10.7683132,48.1787382,ACTIVE,available,5702,2019-07-07T15:13:10Z
10304106,ELEVATOR,zu Gleis 2,10.7684138,48.1786645,ACTIVE,available,5702,2019-07-07T15:13:10Z
10428509,ELEVATOR,zu Gleis 1/2,6.9768114,51.575384,ACTIVE,available,2133,2019-07-07T15:13:10Z
10560984,ELEVATOR,,6.116671,50.7703266,ACTIVE,available,2,2019-07-07T15:13:10Z
10560980,ESCALATOR,,,,ACTIVE,available,1295,2019-07-07T15:13:10Z
10501770,ELEVATOR,Gleis 1,9.35766,,ACTIVE,available,6457,2019-07-07T15:13:10Z
10440294,ESCALATOR,zu Gleis 1/2 (S-Bahn),13.32886595,52.47766455,ACTIVE,available,970,2019-07-07T15:13:10Z
10440295,ESCALATOR,zu Gleis 1/2 (S-Bahn),13.32809355,52.47763795,ACTIVE,available,970,2019-07-07T15:13:10Z
10501772,ELEVATOR,Gleis 5/6,9.35809,51.10268,ACTIVE,available,6457,2019-07-07T15:13:10Z
10440296,ESCALATOR,zu Gleis 3/4 (S-Bahn),13.39806515,52.5545076,ACTIVE,available,791,2019-07-07T15:13:10Z
10440297,ESCALATOR,zu Gleis 3/4 (S-Bahn),13.3980358,52.5545051,ACTIVE,available,791,2019-07-07T15:13:10Z
10501771,ELEVATOR,Gleis 3/4,9.35792,51.10278,ACTIVE,available,6457,2019-07-07T15:13:10Z
